lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-R1-Media_r1,EKO-R1-Media_r3,EKO-R2-Media_r1,EKO-R2-Media_r2,EKO-R2-Media_r3,EKO-R3-Media_r1,EKO-R3-Media_r2,EKO-R3-Media_r3,WT-R1-Media_r1,WT-R1-Media_r3,WT-R2-Media_r1,WT-R2-Media_r2,WT-R2-Media_r3,WT-R3-Media_r1,WT-R3-Media_r2,WT-R3-Media_r3,blank
Lyso_PC(22:1),-0.12068971804254269,6.895406514058263,3.178805287926447,0.0745992556173837,0.21005579871210675,578.4107 -> 184.1,PC,1300.2600860598,1200.060081482,1160.6200904846,1346.1000900267,1175.6800918574,1135.8200798036,1226.8200912475,1191.9600753784,1299.1000938418,1132.8000869751,1218.4400787348,1370.8800926201,1198.0400886537,1301.5000991824,1389.1000900268,1223.5800743112,1289.4400978087
PC (30:1),0.11467142788977992,9.629029327880238,3.1074958528576104,0.07793269546071331,0.2165921666050993,704.5 -> 184.1,PC,6580.6404800412,6804.0204467795,7546.0005569389,8395.0405616701,7134.8605079628,9226.4207191369,10787.8807563661,9138.9407272342,7898.9006004318,7578.2006149265,7235.6805572491,6955.9604187049,7158.0205116215,7050.9204673723,7332.3204879723,6701.1204528752,18346.8410759066
Lyso_PC(18:0),0.11669532605968769,7.658930495602354,3.0827685108442324,0.07912573244537699,0.2170885479911625,524.3638 -> 184.1,PC,2212.8801765432,2113.6601600637,2140.1401138311,2583.4601631158,2222.760154724,2162.0001373311,1983.9801406857,2056.6801414498,1827.40014267,2135.4801635752,1788.1801414494,2154.9801597589,1973.5001182547,1988.8001594544,1893.9001426696,1672.6601066593,3154.5402030936
SM (d16:1/24:1),0.11360476541132139,8.209116207274665,2.974004099299961,0.08461218819162901,0.22920263636719754,785.6 -> 184.1,PC,2709.840175631,3060.4602394103,2752.8401947034,3634.1402587889,3229.3602447527,3527.1802635189,2851.8401908872,3437.4002609269,2731.0201759339,2861.8802108761,2691.8201942458,2633.5001640321,3328.0002555845,2074.8401298523,2940.7001914997,3014.5201988218,5384.400352477
PC (36:2),0.10377936584818098,9.679797804632575,2.545262077446395,0.11062555333657656,0.2959233551753423,786.6 -> 184.1,PC,7081.8205985965,6666.3804206844,7502.080528254,8220.460548407,7004.3804740926,9990.3805999778,9673.5207366903,9127.5206336894,6658.6405754096,7246.8605346726,7511.8604698143,7733.5206298841,7114.2405471783,7420.5205078137,7061.3605766224,7290.480499266,23948.5619277688
SM (d18:0/24:0),0.10548232252661549,7.10526231496753,2.451570002969781,0.11740738462880182,0.3101874112415258,817.7 -> 184.1,PC,1470.0001106275,1393.9201011658,1397.9600982664,1452.7201118471,1717.7601127625,1329.1200904846,1490.600105286,1524.1800994881,1247.7400817874,1482.6600875853,1175.260082245,1263.7400970458,1148.7400970458,1240.6401062002,1361.9600791927,1546.2401046756,2306.9801673888
C22:6,-0.09908576248304374,12.402023190929249,2.3529103064138326,0.12504935591110117,0.32241641162621265,327.3 -> 327.3,FFA,65569.724601722,61232.183959949,60798.863914491,56005.583877571,53083.92375183,56013.943946827,53378.443710308,53442.9235992225,60329.844284066,58243.0239944156,65823.465049716,65170.1844635038,61776.3043556318,58436.924285864,51202.683807355,50646.303451535,31051.162117009
PC (40:4),0.10304639209909149,7.20164035295166,2.3566415801461886,0.1247505016634987,0.32241641162621265,838.6 -> 184.1,PC,1460.8201141351,1484.380100251,1505.4800949085,1758.9001235969,1357.3000946047,1629.5200920107,1933.2601280218,1762.4401130683,1304.6801033023,1488.9201049812,1333.8200874323,1341.2200927734,1652.3001136786,1314.3800926209,1538.0201072703,1502.7201118464,1865.8201408388
Lyso_PC(19:2),-0.10302097819716215,6.875200494400841,2.31469364174443,0.12815654794814527,0.32649406262979863,534.3481 -> 184.1,PC,1384.4000968925,1141.6200752262,1200.340087891,1200.8000946044,1169.3400764465,1107.5600814818,1294.8600921628,1223.9800796513,1277.2200813296,1109.4000816341,1306.7600898734,1252.780082703,1135.2000770571,1208.5400810241,1425.4801025391,1275.9400825506,1145.6800804138
C26:0,-0.09662470272589005,12.727472599205775,2.2385019098395276,0.13461134168672695,0.33464324478857205,395.3 -> 395.3,FFA,73959.785354599,75680.5851822072,73246.3055572548,74958.7052612018,71285.3053436242,75458.645416267,69112.124938943,67773.7846526986,74204.4650802533,73362.885406491,82743.866233808,82642.5253219734,80825.6662139839,73105.465423566,64634.8444442489,64118.984703039,28102.9420165958
