lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,Control1,Control2,Control3,Control4,RAC1,RAC2,RAC3,RAC4,blank,blank_solvent
PG (40:2),0.05232041080389691,7.423136574503005,0.26642309677984244,0.6057413449379693,0.9999898852101796,848.6111 -> 659.6111,PG,1094.3200759884,1187.7000694274,1239.9600944524,1151.2800865171,1459.1200981146,1175.0800781251,1108.9200859067,1099.0600776673,1193.0600967404,1098.3600769045
PG (40:3),0.1396673484148728,7.480484521929367,1.9070339052433685,0.16729310980727843,0.9999898852101796,846.5954 -> 657.5954,PG,1411.9201049808,1054.1600761412,1210.6600799556,1128.3200798032,1433.9201011657,1645.300113678,1109.9200820923,1099.2800788878,1052.8800811767,1034.2000694273
PG (40:4),-0.08589390638299284,7.386637844039142,0.7164374713170272,0.3973149752402354,0.9999898852101796,844.5798 -> 655.5798,PG,1105.3000831603,1411.3801040654,1099.6400794981,1166.5600891112001,1057.0200691223,1110.9600791931,1237.7600746155,1094.3000831602,1151.5200767518,1079.9600868223
PG (40:5),0.03922195106269009,7.300773073088151,0.14864207362836712,0.6998364334511191,0.9999898852101796,842.5641 -> 653.5641,PG,1061.9400749206,1021.3800735473,1108.4200782774,1134.280090332,1074.6600761413,1062.4800720215,1127.5400772095,1171.5600852968,1070.0200729371,1109.300086975
PG (40:7),-0.026531649489525907,7.384509178618919,0.06840359615505065,0.7936754812523371,0.9999898852101796,838.5328 -> 649.5328,PG,1161.2600860594,1174.040088653,1353.9800949102,1027.2200698852,1073.7800674439,1093.7400703429,1417.1200866701,1036.9600677491,1081.5600776672,1072.2400779723
PG (40:8),-0.043935279361409715,7.33080763666531,0.18685290764881257,0.6655489251161836,0.9999898852101796,836.5172 -> 647.5172,PG,1040.1600799563,1157.0600776671,1123.3000793461,1220.9200859071,1186.3800811767,1063.4200630187,1083.1000823973,1066.6600761411,1099.9600868223,1110.5800704951
PG (40:9),0.0011203957995498477,7.292053538554695,1.2112422457433158e-4,0.9912189429414621,0.9999898852101796,834.5015 -> 645.5015,PG,1106.8400764465,1075.5200691223,1079.5800743102,1055.0200805662,1089.5000877379,1045.6000823974,1115.3400688169,1062.4000778197,1145.1200828551,1096.2000770569
PG (42:0),0.0012533440717273812,7.294119665842749,1.5157789987343961e-4,0.9901769346608628,0.9999898852101796,880.6737 -> 691.6737,PG,1100.2800827025,1071.1600685121,1050.540081024,1095.1200752257,1114.8800697326,1063.1600723264,1074.0000839234,1061.8800811767,1158.6800765992,1047.9600753783
PG (42:1),0.0032361215701500056,7.281172858290399,0.0010102446655897435,0.9746440302245708,0.9999898852101796,878.658 -> 689.658,PG,1066.5600700378,1125.5800819395,1076.0600662233,1033.140071869,1046.0400733945,1115.8600692748,1069.1400642394,1073.3400726317,1094.6200790403,1084.0600891113
PG (42:10),-0.04301807483380479,7.3223292951558205,0.17900866176539876,0.6722265686555319,0.9999898852101796,860.5172 -> 671.5172,PG,1207.2800788881,1044.9000816344,1129.0600738525,1125.1000785824,1105.5200767517,1115.2800712587,1051.4800720215,1093.8000717164,1111.1400833128,1070.5000801085
PG (42:11),0.0683421045899243,7.32047831883232,0.45152473135236226,0.5016117717408906,0.9999898852101796,858.5015 -> 669.5015,PG,1108.9200820923,1038.1000633239,1040.3000679016,1121.0800781248,1235.9800910949,1072.9400672911,1106.7600822449,1094.8000831603,1152.1400756836,1077.780075073
PG (42:3),0.001851507328784734,7.399164684269459,3.3278274381176587e-4,0.9854455307291516,0.9999898852101796,874.6267 -> 685.6267,PG,1109.5400848387,1131.9200820925,1273.1200790409,1101.3600883484,1077.1600761415,1085.1000823972,1288.7200927729,1161.4600868224,1299.9801025386,1169.5200881957
PG (42:4),-0.03290414953707152,7.293389709844556,0.10450040904134872,0.7464943838326092,0.9999898852101796,872.6111 -> 683.6111,PG,1079.0600738524,1071.9200630188,1167.7200737,1064.0800704958,1094.5400772096,1058.3000755309,1057.5200767518,1066.700061798,1124.2400817869,1044.8200759886
PG (42:5),-0.04028993344327785,7.367292562462788,0.1575524557030734,0.6914199811373148,0.9999898852101796,870.5954 -> 681.5954,PG,1197.1400794979,1161.9400749202,1170.5400886536,1145.300075531,1114.0400810241,1140.140079498,1205.5400848392,1078.6800689697,1084.6000823976,1022.3000717162
PG (42:6),-0.00793367008003209,7.528540215540531,0.0061721845816329335,0.9373800177280347,0.9999898852101796,868.5798 -> 679.5798,PG,1269.2600898741,1098.7800712586,1509.020118713,1354.3800888064,1561.9201087951,1105.5000839232,1212.3400764464,1314.5600929263,1093.3000869748,1123.6600723266
PG (42:7),0.004568284684227942,7.283048469042662,0.0020145999052775254,0.9641995352902208,0.9999898852101796,866.5641 -> 677.5641,PG,1065.4600753785,1122.4800720213,1099.5000724794,1044.7200775147,1052.8800735474,1114.3800735474,1115.6400794983,1056.2400665284,1040.9800796508,1088.7200660707001
PG (42:8),0.07573361657304362,7.302545394696486,0.5538326016275246,0.4567559100417566,0.9999898852101796,864.5485 -> 675.5485,PG,1137.3800849916,1021.6000709533,1066.4800682068,1019.6800689695,1118.920070648,1077.4400749205,1103.1600799561,1165.680080414,1135.8000869746,1067.2000732423
PG (42:9),-0.1322600851361825,7.36844134787069,1.697705626808916,0.19258830462732243,0.9999898852101796,862.5328 -> 673.5328,PG,1098.1400756833,1108.6600837704,1331.1400833137,1302.6000785831,1072.8800697324,1100.9800758362,1179.8800888058,1055.0000801084,1056.4400749205,1145.6000823976
PG (44:0),-0.05345453370614884,7.329297498780724,0.27648762647746894,0.5990126467282478,0.9999898852101796,908.705 -> 719.705,PG,1089.8800773619,1034.4800796508,1326.9000930793,1088.0600814819,1080.980079651,1075.0400695799,1103.8800811768,1106.2200813294,1125.1200866699,1119.8000717163
